,pc,pp
739,109017,10572
740,69759,10568
741,79461,10567
742,95658,10566
743,69936,10566
744,173636,10565
745,51401,10565
746,186723,10565
747,97405,10563
748,171335,10561
749,41506,10557
750,74942,10555
751,205659,10552
752,165131,10548
753,120078,10542
754,61342,10537
755,99113,10532
756,145971,10532
757,144949,10532
758,67506,10528
759,127970,10523
760,124997,10520
761,93181,10520
762,297674,10515
763,56700,10513
764,137448,10512
765,71537,10509
766,56230,10508
767,129124,10506
768,67771,10505
769,96577,10505
770,106474,10497
771,34717,10497
772,73997,10496
773,54990,10496
774,46067,10495
775,93158,10492
776,150566,10489
777,48678,10487
778,434953,10487
779,145808,10486
780,95367,10481
781,71624,10475
782,72326,10474
783,101755,10473
784,152608,10472
785,48813,10463
786,172580,10463
787,91064,10463
788,32063,10450
789,145453,10447
790,64186,10445
791,91128,10441
792,80402,10441
793,108844,10439
794,127539,10437
795,132427,10436
796,98614,10436
797,97319,10435
798,227347,10435
799,94364,10435
800,85106,10434
801,49112,10433
802,142761,10431
803,78595,10430
804,131173,10429
805,51030,10428
806,111439,10426
807,229018,10424
808,113245,10423
809,71747,10416
810,140422,10416
811,57151,10409
812,48417,10408
813,99830,10406
814,126657,10405
815,114595,10404
816,81434,10404
817,130444,10403
818,100001,10402
819,33317,10400
820,138320,10398
821,181649,10398
822,107129,10398
823,80909,10397
824,47896,10396
825,79709,10390
826,80551,10387
827,68386,10387
828,104766,10384
829,140189,10383
830,75209,10379
831,128099,10376
832,94962,10376
833,69544,10376
834,92647,10376
835,98819,10374
836,187181,10370
837,34256,10370
838,122136,10367
839,87709,10365
840,64595,10363
841,128281,10362
842,86408,10359
843,143828,10357
844,54102,10355
845,125054,10354
846,107654,10354
847,53340,10353
848,78836,10352
849,56348,10351
850,75555,10350
851,63536,10349
852,225973,10343
853,76429,10342
854,13898,10340
855,118541,10340
856,106695,10338
857,68063,10336
858,126255,10336
859,32975,10335
860,145639,10333
861,137887,10332
862,54204,10332
863,61962,10328
864,60993,10326
865,98060,10326
866,75152,10326
867,26611,10326
868,109853,10326
869,52598,10322
870,134860,10321
871,177513,10321
872,73544,10319
873,172286,10319
874,70098,10318
875,57585,10318
876,123570,10315
877,73699,10315
878,82813,10314
879,76674,10314
880,76499,10313
881,58379,10310
882,96080,10309
883,135236,10309
884,118072,10305
885,63602,10304
886,96224,10303
887,55555,10301
888,50377,10300
889,89258,10300
890,82015,10299
891,98264,10296
892,170449,10293
893,62602,10293
894,69357,10291
895,80404,10289
896,91874,10287
897,86470,10285
898,83692,10282
899,127255,10281
900,143390,10279
901,56769,10277
902,108806,10276
903,192581,10275
904,82629,10274
905,114321,10272
906,56689,10272
907,161706,10269
908,75748,10268
909,134184,10268
910,34843,10265
911,149801,10261
912,56601,10260
913,78688,10260
914,94930,10260
915,97879,10260
916,74638,10258
917,59914,10257
918,120662,10256
919,100790,10254
920,94996,10250
921,85001,10250
922,70772,10248
923,90748,10245
924,69266,10245
925,173230,10239
926,70115,10237
927,231213,10234
928,78019,10234
929,91525,10233
930,95164,10232
931,117575,10229
932,74541,10228
933,167732,10227
934,70193,10226
935,193726,10225
936,56577,10222
937,55354,10222
938,90837,10220
939,39810,10218
940,26170,10216
941,78961,10216
942,129202,10215
943,194253,10214
944,11478,10211
945,153072,10209
946,30478,10207
947,82847,10207
948,172613,10206
949,113086,10205
950,44498,10205
951,253153,10201
952,105043,10199
953,81264,10199
954,71860,10197
955,171234,10196
956,141024,10193
957,61388,10192
958,318658,10190
959,50199,10189
960,48291,10186
961,80052,10185
962,124346,10184
963,80150,10183
964,108614,10181
965,94752,10181
966,90973,10179
967,98925,10177
968,222459,10177
969,130201,10174
970,187503,10174
971,105395,10173
972,103223,10172
973,36077,10172
974,58686,10172
975,61736,10170
976,173938,10169
977,105004,10167
978,170198,10166
979,80524,10166
980,110965,10165
981,107366,10165
982,38170,10163
983,101661,10162
984,75580,10159
985,112831,10156
986,75553,10153
987,116879,10152
988,36832,10152
989,159531,10151
990,56103,10151
991,192341,10149
992,79556,10148
993,67050,10148
994,130304,10147
995,73199,10147
996,78527,10147
997,74702,10145
998,107902,10144
999,61314,10141
1000,108557,10138
1001,59403,10135
1002,162576,10135
1003,133512,10133
1004,58607,10133
1005,79049,10132
1006,141751,10131
1007,136443,10130
1008,198721,10125
1009,97947,10123
1010,88235,10122
1011,102004,10122
1012,76661,10121
1013,133538,10119
1014,80025,10118
1015,184715,10118
1016,98020,10116
1017,181461,10116
1018,161997,10116
1019,48737,10116
1020,72564,10115
1021,51239,10115
1022,161606,10114
1023,91705,10113
1024,131324,10111
1025,103527,10111
1026,106935,10110
1027,129263,10109
1028,249770,10109
1029,109253,10106
1030,175914,10106
1031,77894,10101
1032,75290,10101
1033,228336,10101
1034,118582,10100
1035,69707,10097
1036,45342,10095
1037,118268,10094
1038,72153,10093
1039,113536,10092
1040,99139,10090
1041,47044,10088
1042,143831,10086
1043,64656,10086
1044,79407,10085
1045,217019,10082
1046,74246,10079
1047,78874,10077
1048,108454,10076
1049,159953,10075
1050,78709,10074
1051,202520,10074
1052,54826,10073
1053,122143,10072
1054,27321,10071
1055,121592,10070
1056,61999,10070
1057,126502,10068
1058,154380,10068
1059,87423,10067
1060,118081,10065
1061,98271,10063
1062,77652,10062
1063,75162,10060
1064,120155,10060
1065,67185,10058
1066,83786,10056
1067,92363,10056
1068,179450,10055
1069,74151,10055
1070,107721,10054
1071,80891,10053
1072,50791,10053
1073,150067,10053
1074,68887,10051
1075,88971,10051
1076,120010,10050
1077,116003,10049
1078,125750,10048
1079,126777,10047
1080,130321,10046
1081,165471,10046
1082,33533,10046
1083,133787,10045
1084,127327,10044
1085,94339,10043
1086,159989,10041
1087,80723,10041
1088,110262,10040
1089,78020,10037
1090,30414,10034
1091,100290,10033
1092,48809,10033
1093,136183,10032
1094,131058,10032
1095,26228,10029
1096,75541,10027
1097,128631,10025
1098,153261,10024
1099,127290,10024
1100,180176,10022
1101,85376,10021
1102,25401,10019
1103,80471,10018
1104,140443,10018
1105,107913,10017
1106,113739,10016
1107,89019,10016
1108,10171,10015
1109,69002,10015
1110,124561,10012
1111,124438,10011
1112,75558,10009
1113,83985,10007
1114,104619,10007
1115,52721,10003
1116,161224,10002
1117,77891,10001
1118,109475,10001
1119,66422,10000
1120,98632,10000
1121,63234,9997
1122,113679,9997
1123,154089,9996
1124,136519,9992
1125,158572,9990
1126,52804,9990
1127,184249,9989
1128,76069,9989
1129,70546,9988
1130,79602,9988
1131,122089,9987
1132,89969,9987
1133,76198,9986
1134,79535,9985
1135,141185,9984
1136,147290,9982
1137,81598,9980
1138,129458,9974
1139,15439,9974
1140,80155,9972
1141,76485,9971
1142,83261,9970
1143,64070,9964
1144,108469,9963
1145,71248,9963
1146,54114,9961
1147,66182,9961
1148,75342,9959
1149,74315,9958
1150,115064,9956
1151,49726,9955
1152,89497,9951
1153,72403,9950
1154,144037,9949
1155,171076,9948
1156,40878,9946
1157,80111,9945
1158,115218,9944
1159,74954,9942
1160,65022,9941
1161,81111,9940
1162,250447,9939
1163,135890,9938
1164,68852,9935
1165,22721,9934
1166,80486,9932
1167,45294,9928
1168,95615,9926
1169,68781,9925
1170,122813,9924
1171,158131,9919
1172,74635,9919
1173,87285,9918
1174,40920,9917
1175,54629,9914
1176,113769,9913
1177,75808,9912
1178,132033,9910
1179,155421,9907
1180,62827,9907
1181,91991,9906
1182,62462,9906
1183,14664,9904
1184,107164,9903
1185,68560,9900
1186,156868,9896
1187,88502,9896
1188,65107,9893
1189,95346,9892
1190,46138,9892
1191,50307,9890
1192,105142,9883
1193,96412,9883
1194,68006,9881
1195,50626,9879
1196,12775,9878
1197,69352,9877
1198,8216,9876
1199,1751,9875
1200,87865,9874
1201,99731,9873
1202,98748,9867
1203,133828,9866
1204,133974,9864
1205,61692,9863
1206,149419,9862
1207,107831,9857
1208,69204,9856
1209,196058,9851
1210,62013,9851
1211,49893,9849
1212,74878,9846
1213,131430,9846
1214,231983,9844
1215,48688,9844
1216,156067,9843
1217,65091,9842
1218,83419,9833
1219,69369,9832
1220,41845,9832
1221,80995,9830
1222,107453,9826
1223,138477,9825
1224,104911,9820
1225,121415,9818
1226,17621,9818
1227,116031,9817
1228,74681,9817
1229,148376,9816
1230,73382,9815
1231,85156,9814
1232,87092,9813
1233,99892,9812
1234,139624,9811
1235,75207,9808
1236,77795,9803
1237,89145,9802
1238,86255,9799
1239,81995,9799
1240,77824,9799
1241,129217,9799
1242,86977,9799
1243,56461,9796
1244,99784,9795
1245,182669,9794
1246,67004,9794
1247,61353,9793
1248,90244,9793
1249,55199,9792
1250,60333,9792
1251,70240,9791
1252,107918,9788
1253,98868,9785
1254,48003,9784
1255,106010,9784
1256,104227,9782
1257,65046,9782
1258,125435,9781
1259,88921,9781
1260,88852,9781
1261,69305,9780
1262,122192,9779
1263,139222,9779
1264,24543,9779
1265,78795,9778
1266,114425,9778
1267,42188,9777
1268,87485,9776
1269,82483,9775
1270,288994,9774
1271,87934,9772
1272,75795,9770
1273,71915,9768
1274,78328,9765
1275,122850,9765
1276,53243,9764
1277,133085,9762
1278,189800,9760
1279,63779,9759
1280,85536,9756
1281,97335,9756
1282,40741,9756
1283,38350,9754
1284,15308,9753
1285,59487,9752
1286,84698,9750
1287,97376,9750
1288,55619,9749
1289,339466,9749
1290,66339,9748
1291,149091,9748
1292,63388,9747
1293,115922,9747
1294,91477,9746
1295,51224,9746
1296,66206,9746
1297,62317,9745
1298,131544,9744
1299,48132,9743
1300,69031,9742
1301,127350,9742
1302,73657,9741
1303,55532,9741
1304,121417,9740
1305,31619,9739
1306,35126,9738
1307,180027,9736
1308,71123,9735
1309,77773,9735
1310,112030,9735
1311,113833,9732
1312,95249,9731
1313,166485,9731
1314,118272,9731
1315,84469,9730
1316,26981,9729
1317,95544,9728
1318,63097,9728
1319,71553,9725
1320,50976,9722
1321,59572,9719
1322,65199,9719
1323,83696,9719
1324,60311,9718
1325,65584,9711
1326,142757,9711
1327,39467,9710
1328,85205,9710
1329,92467,9710
1330,82679,9707
1331,102780,9704
1332,42107,9703
1333,112535,9703
1334,144881,9703
